real_pol,random_pol,CI_lows_real,CI_high_real,CI_lows_random,CI_high_random
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5
0.5420539296354091,0.5007065760385487,0.5399568825369077,0.5442196246277845,0.497657952283475,0.5042313532702803
0.5360636547063191,0.4999765462521017,0.5335039661501492,0.5386018365605963,0.4966899311719599,0.5028666559555315
0.5329798669339205,0.5015594218702817,0.5323764140556076,0.5335338264109137,0.4988955770259188,0.5042866915918913
0.5333976857237462,0.4974553255505026,0.5326335677088467,0.5339699799334501,0.49503667757194847,0.5004728768380321
0.5377952164395695,0.501276143943346,0.5350455748886512,0.5401517300297728,0.49728670664475993,0.5045658856054301
0.5323534744086446,0.5053411015203617,0.5323534744086446,0.5323534744086446,0.5053411015203617,0.5053411015203617
0.5592416565297766,0.5029867566316475,0.5569603534229908,0.5618912690723509,0.49695811270900514,0.509439648716416
0.535534080454745,0.4972224489725164,0.5309279857848421,0.5400694720913402,0.48971493056077053,0.5034827866717231
0.5360513899311512,0.4976955054145243,0.5308747736336659,0.5413661107096721,0.4929637006330412,0.5030119524990582
0.6249144565525904,0.4968379119356784,0.6249144565525904,0.6249144565525904,0.4884461040196802,0.503428510137167
